FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Dir I>>>,cpOwner,None,,,,,,,
default,Dir I>>>,cpSite,None,,,,,,,
default,Dir I>>>,cpSubstat,None,,,,,,,
default,Dir I>>>,cpSupplySubstation,None,,,,,,,
default,Dir I>>>,cpSupplyTransformer,None,,,,,,,
default,Dir I>>>,cpSupplyTrfStation,None,,,,,,,
default,Dir I>>>,cpZone,None,,,,,,,
default,Dir I>>>,cpcpolc,None,,,,,,,
default,Dir I>>>,cpcuropc,None,,,,,,,
default,Dir I>>>,cpcuropu,None,,,,,,,
default,Dir I>>>,cpolc,None,,,,,,,
default,Dir I>>>,cpolcr,None,,,,,,,
default,Dir I>>>,cpupolu,None,,,,,,,
default,Dir I>>>,curopc,None,,,,,,,
default,Dir I>>>,curopcr,None,,,,,,,
default,Dir I>>>,curopu,None,,,,,,,
default,Dir I>>>,curopur,None,,,,,,,
default,Dir I>>>,dat_src,None,,,,,,,
default,Dir I>>>,dataExtUnit,None,,,,,,,
default,Dir I>>>,fold_id,None,,,,,,,
default,Dir I>>>,for_name,None,,,,,,,
default,Dir I>>>,gnrl_modby,None,,,,,,,
default,Dir I>>>,gnrl_modif,None,,,,,,,
default,Dir I>>>,iSchemeStatus,None,,,,,,,
default,Dir I>>>,icosphi,None,,,,,,,
default,Dir I>>>,idir,None,,,,,,,
default,Dir I>>>,idpol,None,,,,,,,
default,Dir I>>>,imeasure,None,,,,,,,
default,Dir I>>>,loc_name,None,,,,,,,
default,Dir I>>>,mtac,None,,,,,,,
default,Dir I>>>,mtau,None,,,,,,,
default,Dir I>>>,outserv,OFF,,,,,,,
default,Dir I>>>,phisec,None,,,,,,,
default,Dir I>>>,prodc,None,,,,,,,
default,Dir I>>>,prodcr,None,,,,,,,
default,Dir I>>>,produ,None,,,,,,,
default,Dir I>>>,produr,None,,,,,,,
default,Dir I>>>,root_id,None,,,,,,,
default,Dir I>>>,typ_id,None,,,,,,,
default,Dir I>>>,upolu,None,,,,,,,
default,Dir I>>>,upolur,None,,,,,,,
default,Dir Ie>>>,AttributeType,None,,,,,,,
default,Dir Ie>>>,cAlpha,None,,,,,,,
default,Dir Ie>>>,cBeta,None,,,,,,,
default,Dir Ie>>>,cDisplayName,None,,,,,,,
default,Dir Ie>>>,cUserDefIndex,None,,,,,,,
default,Dir Ie>>>,c_pol,None,,,,,,,
default,Dir Ie>>>,c_sfansi,None,,,,,,,
default,Dir Ie>>>,c_sfiec,None,,,,,,,
default,Dir Ie>>>,charact,None,,,,,,,
default,Dir Ie>>>,chr_name,None,,,,,,,
default,Dir Ie>>>,ciDist,None,,,,,,,
default,Dir Ie>>>,ciDistAll,None,,,,,,,
default,Dir Ie>>>,ciDistAllRoot,None,,,,,,,
default,Dir Ie>>>,ciDistRoot,None,,,,,,,
default,Dir Ie>>>,ciEarthed,None,,,,,,,
default,Dir Ie>>>,ciEnergized,None,,,,,,,
default,Dir Ie>>>,ciLater,None,,,,,,,
default,Dir Ie>>>,ciOutaged,None,,,,,,,
default,Dir Ie>>>,cpArea,None,,,,,,,
default,Dir Ie>>>,cpBranch,None,,,,,,,
default,Dir Ie>>>,cpFeed,None,,,,,,,
default,Dir Ie>>>,cpGrid,None,,,,,,,
default,Dir Ie>>>,cpHeadFold,None,,,,,,,
default,Dir Ie>>>,cpMeteostat,None,,,,,,,
default,Dir Ie>>>,cpOperator,None,,,,,,,
default,Dir Ie>>>,cpOwner,None,,,,,,,
default,Dir Ie>>>,cpSite,None,,,,,,,
default,Dir Ie>>>,cpSubstat,None,,,,,,,
default,Dir Ie>>>,cpSupplySubstation,None,,,,,,,
default,Dir Ie>>>,cpSupplyTransformer,None,,,,,,,
default,Dir Ie>>>,cpSupplyTrfStation,None,,,,,,,
default,Dir Ie>>>,cpZone,None,,,,,,,
default,Dir Ie>>>,cpcpolc,None,,,,,,,
default,Dir Ie>>>,cpcuropc,None,,,,,,,
default,Dir Ie>>>,cpcuropu,None,,,,,,,
