FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Default,OC1+,cpHeadFold,None,,,,,,
Default,OC1+,cpMeteostat,None,,,,,,
Default,OC1+,cpOperator,None,,,,,,
Default,OC1+,cpOwner,None,,,,,,
Default,OC1+,cpSite,None,,,,,,
Default,OC1+,cpSubstat,None,,,,,,
Default,OC1+,cpSupplySubstation,None,,,,,,
Default,OC1+,cpSupplyTransformer,None,,,,,,
Default,OC1+,cpSupplyTrfStation,None,,,,,,
Default,OC1+,cpZone,None,,,,,,
Default,OC1+,dat_src,None,,,,,,
Default,OC1+,dataExtUnit,None,,,,,,
Default,OC1+,fold_id,None,,,,,,
Default,OC1+,for_name,None,,,,,,
Default,OC1+,gnrl_modby,None,,,,,,
Default,OC1+,gnrl_modif,None,,,,,,
Default,OC1+,iSchemeStatus,None,,,,,,
Default,OC1+,iacceptblock,None,,,,,,
Default,OC1+,idir,None,,,,,,
Default,OC1+,loc_name,None,,,,,,
Default,OC1+,minresptime,None,,,,,,
Default,OC1+,outserv,Protection/Group1/Overcurrent/PhaseOvercurrent/OC1F/,First,use_setting,D,,,
Default,OC1+,pcharac,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,Curve,use_setting,None,,,
Default,OC1+,resetdis,None,,,,,,
Default,OC1+,root_id,None,,,,,,
Default,OC1+,typ_id,None,,,,,,
Default,OC1+,udeftmax,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,MaxTrippingTime,use_setting,None,,,
Default,OC1+,udeftmin,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,DefiniteMinimumTime,use_setting,None,,,
Default,OC1+ Minimum Current Multiplier,AttributeType,None,,,,,,
Default,OC1+ Minimum Current Multiplier,Ipset,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,MinimumCurrentMultiplier,use_setting,None,,,
Default,OC1+ Minimum Current Multiplier,Ipsetr,None,,,,,,
Default,OC1+ Minimum Current Multiplier,Trelblock,None,,,,,,
Default,OC1+ Minimum Current Multiplier,Tset,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cDisplayName,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cTset,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cUserDefIndex,None,,,,,,
Default,OC1+ Minimum Current Multiplier,c_sfansi,None,,,,,,
Default,OC1+ Minimum Current Multiplier,c_sfiec,None,,,,,,
Default,OC1+ Minimum Current Multiplier,c_type,None,,,,,,
Default,OC1+ Minimum Current Multiplier,calcuse,None,,,,,,
Default,OC1+ Minimum Current Multiplier,charact,None,,,,,,
Default,OC1+ Minimum Current Multiplier,chr_name,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciDist,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciDistAll,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciDistAllRoot,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciDistRoot,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciEarthed,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciEnergized,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciLater,None,,,,,,
Default,OC1+ Minimum Current Multiplier,ciOutaged,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpArea,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpBranch,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpFeed,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpGrid,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpHeadFold,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpMeteostat,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpOperator,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpOwner,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpSite,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpSubstat,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpSupplySubstation,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpSupplyTransformer,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpSupplyTrfStation,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cpZone,None,,,,,,
Default,OC1+ Minimum Current Multiplier,cptotime,None,,,,,,
Default,OC1+ Minimum Current Multiplier,dat_src,None,,,,,,
Default,OC1+ Minimum Current Multiplier,dataExtUnit,None,,,,,,
Default,OC1+ Minimum Current Multiplier,fold_id,None,,,,,,
Default,OC1+ Minimum Current Multiplier,for_name,None,,,,,,
Default,OC1+ Minimum Current Multiplier,gnrl_modby,None,,,,,,
Default,OC1+ Minimum Current Multiplier,gnrl_modif,None,,,,,,
Default,OC1+ Minimum Current Multiplier,iSchemeStatus,None,,,,,,
Default,OC1+ Minimum Current Multiplier,iacceptblock,None,,,,,,
Default,OC1+ Minimum Current Multiplier,idir,None,,,,,,
Default,OC1+ Minimum Current Multiplier,loc_name,None,,,,,,
Default,OC1+ Minimum Current Multiplier,outserv,Protection/Group1/Overcurrent/PhaseOvercurrent/OC1F/,First,use_setting,D,,,
Default,OC1+ Minimum Current Multiplier,root_id,None,,,,,,
Default,OC1+ Minimum Current Multiplier,typ_id,None,,,,,,
Default,OC2+,AttributeType,None,,,,,,
Default,OC2+,Ipset,None,,,,,,
Default,OC2+,Ipsetr,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/Second/,PickupCurrent,use_setting,None,,,
Default,OC2+,ModFrame,None,,,,,,
Default,OC2+,ResetT,None,,,,,,
Default,OC2+,Tadder,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/Second/,AdditionalTime,use_setting,None,,,
Default,OC2+,Tpset,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/Second/,TimeMultiplier,use_setting,None,,,
Default,OC2+,Trelblock,None,,,,,,
Default,OC2+,Tshift,None,,,,,,
Default,OC2+,cDisplayName,None,,,,,,
Default,OC2+,cResetT,None,,,,,,
Default,OC2+,cTadder,None,,,,,,
Default,OC2+,cUserDefIndex,None,,,,,,
Default,OC2+,c_sfansi,None,,,,,,
Default,OC2+,c_sfiec,None,,,,,,
Default,OC2+,c_type,None,,,,,,
Default,OC2+,calcuse,None,,,,,,
Default,OC2+,charact,None,,,,,,
Default,OC2+,chr_name,None,,,,,,
Default,OC2+,ciDist,None,,,,,,
Default,OC2+,ciDistAll,None,,,,,,
Default,OC2+,ciDistAllRoot,None,,,,,,
Default,OC2+,ciDistRoot,None,,,,,,
Default,OC2+,ciEarthed,None,,,,,,
Default,OC2+,ciEnergized,None,,,,,,
Default,OC2+,ciLater,None,,,,,,
Default,OC2+,ciOutaged,None,,,,,,
Default,OC2+,cminresptime,None,,,,,,
Default,OC2+,cpArea,None,,,,,,
Default,OC2+,cpBranch,None,,,,,,
Default,OC2+,cpFeed,None,,,,,,
Default,OC2+,cpGrid,None,,,,,,
Default,OC2+,cpHeadFold,None,,,,,,
Default,OC2+,cpMeteostat,None,,,,,,
Default,OC2+,cpOperator,None,,,,,,
Default,OC2+,cpOwner,None,,,,,,
Default,OC2+,cpSite,None,,,,,,
Default,OC2+,cpSubstat,None,,,,,,
Default,OC2+,cpSupplySubstation,None,,,,,,
