FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,I>1,cpSupplyTrfStation,None,,,,,,,
default,I>1,cpZone,None,,,,,,,
default,I>1,dat_src,None,,,,,,,
default,I>1,dataExtUnit,None,,,,,,,
default,I>1,fold_id,None,,,,,,,
default,I>1,for_name,None,,,,,,,
default,I>1,gnrl_modby,None,,,,,,,
default,I>1,gnrl_modif,None,,,,,,,
default,I>1,iSchemeStatus,None,,,,,,,
default,I>1,iacceptblock,None,,,,,,,
default,I>1,idir,None,,,,,,,
default,I>1,loc_name,None,,,,,,,
default,I>1,minresptime,None,,,,,,,
default,I>1,outserv,Group 1/35 - GROUP 1 OVERCURRENT/,3501,use_setting,Disabled,,,,
default,I>1,pcharac,Group 1/35 - GROUP 1 OVERCURRENT/,3501,use_setting,None,,,,
default,I>1,resetdis,None,,,,,,,
default,I>1,root_id,None,,,,,,,
default,I>1,typ_id,None,,,,,,,
default,I>1,udeftmax,None,,,,,,,
default,I>1,udeftmin,None,,,,,,,
default,I>2,AttributeType,None,,,,,,,
default,I>2,Ipset,None,,,,,,,
default,I>2,Ipsetr,Group 1/35 - GROUP 1 OVERCURRENT/,350B,use_setting,None,,,,
default,I>2,ModFrame,None,,,,,,,
default,I>2,ResetT,None,,,,,,,
default,I>2,Tadder,None,,,,,,,
default,I>2,Tpset,Group 1/35 - GROUP 1 OVERCURRENT/,350D,use_setting,None,,,,
default,I>2,Trelblock,None,,,,,,,
default,I>2,Tshift,None,,,,,,,
default,I>2,cDisplayName,None,,,,,,,
default,I>2,cResetT,None,,,,,,,
default,I>2,cTadder,None,,,,,,,
default,I>2,cUserDefIndex,None,,,,,,,
default,I>2,c_sfansi,None,,,,,,,
default,I>2,c_sfiec,None,,,,,,,
default,I>2,c_type,None,,,,,,,
default,I>2,calcuse,None,,,,,,,
default,I>2,charact,None,,,,,,,
default,I>2,chr_name,None,,,,,,,
default,I>2,ciDist,None,,,,,,,
default,I>2,ciDistAll,None,,,,,,,
default,I>2,ciDistAllRoot,None,,,,,,,
default,I>2,ciDistRoot,None,,,,,,,
default,I>2,ciEarthed,None,,,,,,,
default,I>2,ciEnergized,None,,,,,,,
default,I>2,ciLater,None,,,,,,,
default,I>2,ciOutaged,None,,,,,,,
default,I>2,cminresptime,None,,,,,,,
default,I>2,cpArea,None,,,,,,,
default,I>2,cpBranch,None,,,,,,,
default,I>2,cpFeed,None,,,,,,,
default,I>2,cpGrid,None,,,,,,,
default,I>2,cpHeadFold,None,,,,,,,
default,I>2,cpMeteostat,None,,,,,,,
default,I>2,cpOperator,None,,,,,,,
default,I>2,cpOwner,None,,,,,,,
default,I>2,cpSite,None,,,,,,,
default,I>2,cpSubstat,None,,,,,,,
default,I>2,cpSupplySubstation,None,,,,,,,
