relaysettingid,nameenu,actualvalue
645AA6A0-D4B2-4CB7-9F9D-B093E9AC6F31,Iprim_1,400.0
A6B7F2B6-CCB0-48EA-830A-C6A273F46344,Isec_1,5.0
5B99792F-97F8-4281-A969-D76CADE4B8EC,Ratio I_1,80.0
B54204C0-DC39-48A8-B27A-A9DA8B05A33C,Isec_1,5.0
77EF678B-9508-4E65-9628-B3C53A4B3083,Ratio I_1,80.0
08A0EBD5-B465-42B6-8989-A22A458413F3,Iprim_1,400.0
E15663A5-2327-4AC3-B27B-D3534C9D95CD,Ratio I_1,160.0
B622B07C-93A7-4D30-9CA0-D101A380821A,Isec_1,5.0
BE7CAD4E-4F0E-4AD3-BED0-F3EA6D489AC9,Iprim_1,400.0
700F9B3D-C7C0-4CA4-8EA5-6166DB0DC3A9,Isec_1,5.0
157F5302-0092-4E54-A401-47A35AD87772,Ratio I_1,800.0
9B83ADCB-1609-48B2-8111-4A56D4E3DB3D,Iprim_1,400.0
69040213-D63D-4E1D-8C36-CD37A50EA456,Iprim_1,400.0
CEBF6426-E78B-47EE-ABD4-60874459DFE4,Ratio I_1,80.0
CEBF6426-E78B-47EE-ABD4-60874459DFE4,Isec_1,5.0
135309B3-7082-4539-9247-D0B494732C8B,Ratio I_1,400.0
944169C4-EAD1-4470-A385-D1925C222FB8,Ratio I_3,865.05
17BB761A-7DB4-4B39-8575-0B05D58A8636,Ratio I_2,80.0
E4A89DA2-809A-4983-9FE2-CB068D35EDAF,Ratio I_1,120.0
2BBA6630-00EB-4F00-BC8C-A5401E5E0791,Ratio I_1,60.0
E3E35F27-0590-4BAD-8218-60CD913119AE,Iprim_3,2500.0
595C2424-13C2-41B2-85DE-3193A80442D8,Isec_3,5.0
CC92C038-C3A8-4141-A200-076B22800E35,Isec_1,5.0
71888590-4708-4429-A3DA-BBA6FDA5B4DC,Iprim_2,400.0
50D64D7A-E933-41B8-A737-56DF147139D5,Ratio I_1,120.0
AE0E39D2-BFA8-4FA5-AB45-AB306460BDD0,Isec_1,5.0
2778C805-5415-4512-ACAC-EAC96D28232C,Ratio I_1,60.0
AB2A0051-65B9-48A2-95CF-B0468B184BFC,Isec_3,5.0
1A5C1EAA-CAAD-4BB3-B365-B9D5BF45CC9F,Ratio I_1,160.0
1DE40098-0FB0-4D90-8DEA-D977EC9E8285,Isec_1,5.0
64DD9426-58A5-43C3-8335-8E9A7BB7A0B4,Ratio I_1,160.0
464B162B-25FF-4DD0-AE58-D5A07626B99A,Isec_1,1.0
A54BF62B-DDA0-4A64-B448-78F7918F18B9,Iprim_1,600.0
58F47C8C-A1E0-422D-AC4B-FBD3C4C3921F,Isec_1,5.0
73DCC57F-25AB-4E1F-AAAE-0E44B603FA66,Ratio I_1,20.0
9CB0FAB6-1DB1-4BBB-9E6F-72E768CDC95A,Iprim_1,400.0
6102BC53-8543-420E-9EB4-C6CC556D709B,Ratio I_1,1200.0
ED344AD7-D6D8-48A7-A670-27949C8CF14C,Ratio I_1,80.0
A9ED8B38-9DA2-407D-B48F-CD2F5CCFE686,Isec_1,5.0
9BE99E5A-5952-4107-AB90-9C1B4A873CB1,Ratio I_1,80.0
52933845-34A5-4D26-8FA4-A49ED823DBDB,Ratio I_1,40.0
729F2DD6-E3FF-4E1C-86CD-2172C75472AA,Iprim_1,2000.0
07D25D8C-04CD-4BB4-8083-7371E4B6A67B,Ratio I_1,80.0
8709E85E-069F-4EDC-B4FA-4079137F988A,Ratio I_1,400.0
CBC81892-6ED2-4403-8F0E-89D5C84C6850,Isec_1,5.0
3F9EFF6D-25A9-4AB8-9862-13BDCBE39DAA,Ratio I_1,60.0
D6348BC5-261D-4959-9FC0-D24240CA1E7F,Ratio I_1,160.0
5F83F6FB-96E7-4788-9E10-B4BA994B0381,Ratio I_1,120.0
CE9D431B-AD1A-4C0C-B28A-99D8680E646F,Ratio I_1,80.0
F53AFABA-695A-4F18-A7FC-2BD67B23094F,Ratio I_1,80.0
BB0E39D5-659E-44F3-8CC3-732E119DD1B2,Iprim_1,1000.0
4E58F8DE-FAD4-4C95-8030-9831B8EFC674,Ratio I_1,1200.0
DB85C42F-A09E-4F42-BEDE-D2CD25C27F87,Iprim_1,400.0
48BA9623-EB27-4D71-84B2-617F134B1788,Ratio I_1,400.0
6A17B67E-5EE8-4A3B-AA09-6DE494D7903D,Isec_1,5.0
BC301DDF-8B1C-4CE8-8DCC-D5C34E75A134,Iprim_1,400.0
0B6BF9CE-9BCF-46AB-8E9F-B3883D6A9CE0,Iprim_1,400.0
905D4B0E-29C6-4323-BEAE-C928C37536B2,Iprim_1,100.0
FE1D014F-77E7-4B38-A244-AD40BA1821E9,Isec_1,5.0
56048A16-926D-4466-AF88-A1EF38C59ABA,Iprim_1,400.0
64EC0207-2D9E-4B35-B968-6AF05D42ACAF,Iprim_1,2000.0
EA7478BD-8934-44BA-8F24-16B156476A4C,Iprim_1,2000.0
5F68804E-D678-4BA8-80F4-798588F63A65,Isec_1,5.0
94F5C650-EAF1-402A-9A01-09F0702FF4D1,Isec_1,5.0
4EACE393-E5D4-400A-A454-246447AB30B9,Isec_1,5.0
