asset_id,equip_no,plant_no
111776343,000008848324,GS-819567                     
84275037,000007263430,GS-789602                     
40214126,000002291929,GS-62426                      
10128487,000002750892,GS-71391                      
84728477,000007954485,GS-1194404                    
21009812,000002214980,GS-54898                      
112599350,000009348757,GS-895210                     
112346682,000009103660,GS-868032                     
60327845,000002103111,GS-52898                      
50074117,000002658635,GS-63980                      
84401606,000007629959,GS-953841                     
84417048,000007630033,GS-932728                     
50068251,000002113296,GS-63918                      
82581126,000005318558,GS-245385                     
84176965,000007055421,GS-716730                     
84441538,000007629990,GS-981680                     
60000817,000002312122,GS-65554                      
10105817,000002788501,GS-70951                      
21023251,000002176877,GS-72311                      
10129270,000002735783,GS-71528                      
10029411,000002307834,GS-53277                      
21023789,000002413959,GS-72717                      
60330220,000002633831,GS-85842                      
50082557,000002389047,GS-82222                      
60325277,000002022958,GS-67538                      
60325278,000002023006,GS-67539                      
60000785,000002310742,GS-65525                      
60325528,000002772219,GS-67598                      
60001890,000002230329,GS-66329                      
84843417,000008039994,GS-1241360                    
84848308,000008040875,GS-1242486                    
111610946,000008734711,GS-802932                     
111729446,000008815228,GS-815324                     
84695290,000007900587,GS-1157440                    
83945614,000006677030,GS-563280                     
112355431,000009111273,GS-871922                     
30061841,000002541370,GS-56766                      
112514021,000009269347,GS-888930                     
112339570,000009098134,GS-2418561                    
84492263,000007608703,GS-1020561                    
111784589,000008853295,GS-820371                     
84944751,000008132536,GS-1329040                    
112780333,000009482382,GS-911976                     
84915685,000008095601,GS-1296964                    
84909231,000008089702,GS-1291760                    
84400843,000007630029,GS-953121                     
10030745,000002270990,GS-54119                      
83911113,000006607923,GS-530800                     
60000115,000002326831,GS-64935                      
10029027,000002317088,GS-53023                      
85233535,000008487762,GS-1441203                    
84909920,000008090466,GS-1293280                    
112473589,000009226809,GS-884428                     
112529190,000009284402,GS-888709                     
60322403,000002156567,GS-67423                      
81680883,000002384120,GS-94458                      
50068611,000002805273,GS-81038                      
111908240,000008913775,GS-855016                     
111908427,000008914118,GS-2197681                    
111745576,000008829000,GS-816536                     
111632909,000008750526,GS-803282                     
21002581,000002244918,GS-54257                      
84875782,000008064885,GS-1257441                    
112168767,000008992362,GS-857942                     
111618526,000008741352,GS-803484                     
60000216,000002391645,GS-65022                      
111666657,000008776712,GS-809330                     
111639109,000008778215,GS-797551                     
40212705,000002308766,GS-61771                      
84544962,000007682897,GS-1060801                    
112360662,000009114734,GS-872255                     
112475968,000009228456,GS-884448                     
111649640,000008780003,GS-807796                     
84895179,000008083466,GS-1274322                    
50060170,000002390591,GS-80517                      
50068002,000002199182,GS-63869                      
82749797,000005763257,GS-291521                     
50072514,000002665560,GS-81557                      
50072368,000002762033,GS-81523                      
50072356,000002761580,GS-81518                      
50071978,000002702885,GS-81477                      
10128302,000002747252,GS-71326                      
85094623,000008261433,GS-1377442                    
40217017,000002255584,GS-62894                      
84892887,000008075628,GS-1269122                    
84909713,000008089963,GS-614556                     
84891965,000008075051,GS-1269200                    
84903422,000008085941,GS-614280                     
84900183,000008085945,GS-1267366-0003               
111776002,000008848214,GS-819676                     
111776494,000008848376,GS-819494                     
111776841,000008848683,GS-819766                     
40214124,000002291830,GS-62424                      
50076444,000005786335,GS-302322                     
21025340,000002462482,GS-73841                      
10029745,000002131774,GS-53517                      
111770683,000008844834,GS-818988                     
111745295,000008828708,GS-816756                     
84912299,000008092587,GS-1295122                    
84920177,000008102147,GS-1300241                    
84388879,000007629955,GS-943928                     
112385971,000009142016,GS-874915                     
84720706,000007940495,GS-1185600                    
84369073,000007610263,GS-931440                     
84381075,000007369493,GS-922006                     
84307528,000007263461,GS-868800                     
84521243,000007642672,GS-1044004                    
10029578,000002806495,GS-53400                      
50060708,000002388743,GS-80622                      
85130581,000008290785,GS-1393760                    
84518976,000007639574,GS-1043121                    
84952149,000008144814,GS-1336008                    
10129602,000002738787,GS-71584                      
10128333,000002747741,GS-71335                      
21023739,000002412088,GS-72679                      
10105860,000002789730,GS-70973                      
10030046,000002690511,GS-53750                      
10129353,000002737465,GS-71561                      
21025406,000002465025,GS-73889                      
60000565,000002319926,GS-65328                      
10129307,000002736269,GS-71538                      
21007887,000002585919,GS-54733                      
21021025,000002211750,GS-55198                      
10028951,000002315378,GS-52980                      
10128687,000002263214,GS-71478                      
40201861,000002787849,GS-58995                      
60330816,000005491760,GS-229710                     
50087247,000002298190,GS-64824                      
10130561,000002727331,GS-71770                      
25279940,000002507304,GS-70035                      
50082767,000002402168,GS-82284                      
60001411,000002235771,GS-65971                      
80099896,000002274501,GS-67925                      
84564637,000007846704,GS-1072721                    
84104391,000006942770,GS-668006                     
30184390,000002400212,GS-77592                      
60000613,000002321921,GS-65371                      
84825894,000008017961,GS-1231120                    
84831357,000008022472,GS-1234800                    
111729259,000008815108,GS-815266                     
112404610,000009159987,GS-876802                     
112405927,000009161302,GS-877470                     
30061766,000002537792,GS-56695                      
111779567,000008850528,GS-2031130                    
84356625,000007629923,GS-815104                     
83998816,000006763516,GS-622006                     
111782503,000008852068,GS-820438                     
84384101,000007610119,GS-931284                     
112755549,000009466737,GS-909903                     
50065257,000002583073,GS-63465                      
84250489,000007263415,GS-772007                     
50075416,000002571990,GS-64159                      
111622684,000008749176,GS-805008                     
50075339,000002641129,GS-64151                      
60325643,000002144633,GS-67627                      
50080230,000002394606,GS-82051                      
60001686,000002334958,GS-66179                      
25266024,000002129128,GS-73937                      
50082467,000002385898,GS-82181                      
50073861,000002638113,GS-63932                      
82901565,000005923254,GS-344335                     
60000556,000002319502,GS-65320                      
84673833,000007870887,GS-1130483                    
84102686,000006940922,GS-719041                     
98792063,000008630939,GS-786337                     
84125467,000006975642,GS-649523                     
84253724,000007263419,GS-822800                     
84654332,000007841207,GS-1106401                    
84654333,000007841211,GS-1106402                    
84662848,000007855048,GS-1117521                    
50061625,000002164610,GS-80786                      
40213840,000002575258,GS-62348                      
40213710,000002302264,GS-62286                      
30184561,000002786564,GS-77759                      
30184562,000002786613,GS-77760                      
25268563,000002407642,GS-55913                      
30061489,000002260490,GS-56424                      
60000369,000002290633,GS-65157                      
60001571,000002276946,GS-66075                      
84812994,000007996724,GS-1220640                    
21023068,000002529143,GS-72169                      
10105809,000002788246,GS-70946                      
84856848,000008049627,GS-1247040                    
84856844,000008049632,GS-1232484                    
84859997,000008051258,GS-1248720                    
50077575,000002472885,GS-64371                      
84903329,000008085889,GS-1285447-0003               
84884177,000008072029,GS-1262644                    
111622678,000008744283,GS-804966                     
111622851,000008744244,GS-805034                     
111619258,000008741990,GS-804546                     
85306707,000008563652,GS-1506482                    
112717907,000009444822,GS-904030                     
80121816,000002195430,GS-86497                      
112537023,000009290775,GS-890826                     
84910035,000008090947,GS-1293600                    
60001866,000002229514,GS-66310                      
60001643,000002333098,GS-66143                      
10128449,000002750097,GS-71377                      
50073517,000002648957,GS-81700                      
84025411,000006800065,GS-123-0006                   
83038670,000006200672,GS-426736                     
85254495,000008511520,GS-1464413                    
84888027,000008073898,GS-1265920                    
84888264,000008074017,GS-615991                     
84884517,000008072376,GS-1263440                    
60000447,000002293268,GS-65223                      
50083584,000002366744,GS-82342                      
50084424,000002199336,GS-63871                      
50067277,000005299339,GS-63728                      
10029996,000002688083,GS-53708                      
10130555,000002727182,GS-71767                      
80124720,000002186196,GS-87297                      
80100031,000002274743,GS-67932                      
50063148,000002589424,GS-63149                      
84925983,000008107313,GS-1304323                    
85364448,000008618098,GS-1532403                    
50067478,000002853072,GS-63775                      
84403945,000007608339,GS-955602                     
50061097,000002275803,GS-80688                      
60000544,000002318972,GS-65312                      
60000579,000002320523,GS-65340                      
111900300,000008908425,GS-854478                     
81675837,000002812864,GS-88815                      
112167074,000008989080,GS-857908                     
111639125,000008863710,GS-805655                     
111639144,000008863715,GS-805657                     
111815730,000008872411,GS-823260                     
84527823,000007653870,GS-1005842                    
10129691,000002740389,GS-71599                      
60000762,000002247589,GS-65503                      
84457232,000007619762,GS-958082                     
50080435,000002373680,GS-82108                      
50080437,000002373769,GS-82110                      
10132093,000002232581,GS-71908                      
10030602,000002800546,GS-54058                      
60000769,000002247867,GS-65510                      
111729532,000008815379,GS-813065                     
60325242,000002839276,GS-52605                      
112552354,000009305400,GS-892800                     
10029514,000002804303,GS-53354                      
40212952,000002691115,GS-61929                      
60000791,000002311029,GS-65531                      
21003829,000002594067,GS-54363                      
84292458,000007263400,GS-852880                     
101742037,000008634823,GS-787462                     
106916306,000008642726,GS-788506                     
100428074,000008634970,GS-786944                     
82909288,000005937717,GS-363619                     
21024579,000002474309,GS-73254                      
60327272,000002648450,GS-85458                      
84714702,000007932835,GS-1176480                    
30061963,000002080586,GS-56882                      
84899352,000008081512,GS-1279520                    
84662847,000007855046,GS-1117520                    
60003967,000002171838,GS-83034                      
50078050,000002468552,GS-64407                      
50077405,000002511142,GS-64357                      
10030159,000002299238,GS-53834                      
25266877,000002453490,GS-74127                      
60000641,000002243180,GS-65395                      
84940616,000008123299,GS-1323360                    
50084283,000002367094,GS-82488                      
84863660,000008054707,GS-1250400                    
10128427,000002749885,GS-71374                      
84718239,000007936919,GS-1182000                    
84233710,000007263418,GS-808801-0001                
111638037,000008754449,GS-806644                     
111637530,000008753792,GS-802917                     
111619254,000008741989,GS-804660                     
111619255,000008741991,GS-804547                     
111619259,000008741992,GS-804661                     
111597464,000008738588,GS-801796                     
112402683,000009158629,GS-876398                     
84875008,000008064489,GS-1256960                    
112356910,000009112302,GS-871668                     
112356872,000009112303,GS-871627                     
111910207,000008915239,GS-854956                     
111869340,000008896732,GS-852904                     
84917971,000008098566,GS-1299041                    
84908646,000008089119,GS-1290561                    
84910036,000008090950,GS-1293601                    
84914270,000008093936,GS-1296560                    
84916878,000008097715,GS-1297840                    
21025183,000002135183,GS-73697                      
25267759,000002118922,GS-74590                      
60001559,000002276559,GS-66063                      
84279595,000007263431,GS-840400                     
84192204,000007263352,GS-910280                     
84234157,000007263459,GS-809043                     
84271748,000007263428,GS-835200                     
84256827,000007263403,GS-825760                     
111839287,000008889747,GS-850342                     
21004180,000002595698,GS-54393                      
111722940,000008811549,GS-813247                     
111865744,000008893991,GS-851829                     
111721743,000008810965,GS-814602                     
84881391,000008070054,GS-1260402                    
60000121,000002327132,GS-64941                      
83060453,000006277325,GS-418331                     
84714708,000007932830,GS-1176560                    
50068247,000002113185,GS-63917                      
50080097,000002389693,GS-81986                      
50067336,000002171874,GS-63741                      
50067359,000002172598,GS-63746                      
60322430,000002157328,GS-67425                      
10029669,000002809487,GS-53458                      
10030704,000002802856,GS-54099                      
84492418,000007630058,GS-1020729                    
50063318,000002295543,GS-63172                      
85275331,000008533637,GS-1482001                    
110446017,000008652810,GS-789705                     
110446016,000008652811,GS-789950                     
21025068,000002469310,GS-73588                      
50068605,000002805008,GS-81036                      
80114070,000002728367,GS-68121                      
112412467,000009168330,GS-878258                     
112368580,000009122469,GS-872791                     
30063075,000002255859,GS-76058                      
111902979,000008909558,GS-854716                     
