asset_id,equip_no,plant_no
40198022,000002545411,RC-58214                      
40198466,000002090346,RC-58281                      
40198659,000002091988,RC-58327                      
40199086,000002529517,RC-58405                      
83948860,000006681451,RC-567761                     
84192023,000007112134,RC-773364                     
84139694,000006998002,RC-660016                     
84144884,000007009914,RC-651852                     
112547242,000009300721,RC-891841                     
84674627,000007871940,RC-1131120                    
50075716,000002565953,RC-64198                      
111740077,000008824317,RC-816290                     
83972453,000006719501,RC-593280-0001                
40203815,000002855208,RC-60333                      
50067687,000002121317,RC-63831                      
111618816,000008741671,RC-804669                     
82649546,000005541885,RC-239201                     
111552485,000008689626,RC-796982                     
111542014,000008682509,RC-794374                     
111546147,000008686163,RC-795964                     
111550447,000008688576,RC-1744165                    
111542118,000008682577,RC-795749                     
85218268,000008469338,RC-1450480                    
85254475,000008511517,RC-814965                     
84186577,000007073782,RC-768080                     
10128291,000002747094,RC-71323                      
83004288,000008609135,RC-627210                     
81642123,000002520125,RC-69818                      
82558378,000005317386,RC-324800                     
82964340,000006002129,RC-369840                     
30184241,000002797973,RC-77506                      
50069302,000002582525,RC-69843                      
84898857,000008080472,RC-1278882                    
25279599,000002690129,RC-70329                      
60002194,000002271439,RC-66436                      
84940589,000008132086,RC-886219                     
21003366,000002247908,RC-884140                     
84340661,000007313450,RC-897795                     
111623744,000008744399,RC-805169                     
111623783,000008744409,RC-805159                     
82853149,000005858985,RC-321773                     
60002320,000002272344,RC-66487                      
40196166,000002798043,RC-57855                      
50069106,000002650256,RC-87393                      
50069099,000002499989,RC-81104                      
40198178,000002089230,RC-58247                      
83861907,000006364203,RC-475608                     
60322858,000002150910,RC-67507                      
60002172,000002271199,RC-66430                      
60331413,000002185559,RC-87278                      
84813762,000007997369,RC-1221201                    
40195944,000002796171,RC-57819                      
50062813,000002305832,RC-80982                      
84394047,000007390179,RC-916563                     
84116183,000006958995,RC-725522                     
40199200,000002531275,RC-58440                      
40199188,000002530919,RC-58433                      
21003599,000002593280,RC-54347                      
21011325,000002580322,RC-55020                      
40207754,000002345383,RC-79077                      
50079875,000002437813,RC-81874                      
82431327,000002215890,RC-95116                      
84300569,000007252080,RC-849785                     
40196631,000002119858,RC-57952                      
30062093,000002528819,RC-56968                      
40197690,000002541688,RC-58135                      
50062325,000002310772,RC-80895                      
84940655,000008123293,RC-1323440                    
83960580,000006701283,RC-580640                     
111829275,000008884514,RC-848099                     
10135446,000002227820,RC-71999                      
40203098,000002033213,RC-59809                      
25267149,000002125184,RC-74305                      
50087294,000002299468,RC-64847                      
82980799,000006038247,RC-CB20866                    
82980803,000006038249,RC-CB20870                    
112477057,000009230002,RC-884825                     
112479728,000009231685,RC-885132                     
111621766,000008743408,RC-797689                     
50071579,000002193785,RC-81424                      
82875862,000005889020,RC-336483                     
84667488,000007863358,RC-1121525                    
84526905,000007652743,RC-1049442                    
84942720,000008127651,RC-1326080                    
111600410,000008726421,RC-802440                     
111595774,000008723269,RC-801717                     
40197983,000002544966,RC-58204                      
84836047,000008027282,RC-1238082                    
84300568,000007252079,RC-849784                     
111617453,000008740401,RC-804222                     
112281805,000009043157,RC-863965                     
84775309,000007982882,RC-1208560                    
82875638,000005888275,RC-336322                     
84168600,000007036053,RC-733282                     
40200198,000002085268,RC-58667                      
40200179,000002085131,RC-58663                      
40199406,000002534842,RC-58514                      
40199451,000002536303,RC-58544                      
