asset_id,equip_no,plant_no
40202364,000002480500,DO-59338                      
84900439,000008082396,DO-1666081                    
84682708,000007883202,DO-1140960                    
84202236,000007100045,DO-784721                     
111556619,000008692551,DO-796744                     
111567651,000008701275,DO-798574                     
111564996,000008698628,DO-797819                     
111565010,000008698631,DO-797845                     
111565027,000008698633,DO-797919                     
111565038,000008698635,DO-797929                     
60003491,000002232096,DO-82707                      
84264667,000007190545,DO-830277                     
84271750,000007199251,DO-835202                     
84234491,000007144691,DO-809680                     
84275743,000007205697,DO-786885                     
84238364,000007148377,DO-774489                     
83996510,000006899201,DO-592890                     
85247137,000008502345,DO-1695280                    
84661664,000007852386,DO-1116496                    
84661657,000007852387,DO-1116489                    
84661648,000007852390,DO-1664806                    
81680171,000002380711,DO-94885                      
111563186,000008697288,DO-1769921                    
98401306,000008630637,DO-786506                     
60000893,000002315156,DO-65623                      
81644358,000002667810,DO-69955                      
10135966,000002668133,DO-69961                      
40216365,000002262661,DO-62767                      
50080323,000002370632,DO-82088                      
40216330,000002261624,DO-62756                      
40202213,000002475506,DO-59236                      
40214524,000002264543,DO-62510                      
40214534,000002264733,DO-62516                      
40203048,000002030820,DO-59772                      
40214618,000002266912,DO-62567                      
40203339,000002428703,DO-59992                      
40201813,000002786123,DO-58960                      
40203546,000002289776,DO-60149                      
40214803,000002562288,DO-62650                      
84276699,000007205763,DO-838240                     
111628918,000008747879,DO-805560                     
111506314,000008659383,DO-791603                     
83936182,000006658360,DO-1683681                    
85369930,000008622568,DO-1567520                    
60001334,000002233500,DO-65913                      
30063564,000002872166,DO-76528                      
84264641,000007190519,DO-830251                     
84264643,000007190521,DO-830253                     
84264648,000007190526,DO-830258                     
84264650,000007190528,DO-830260                     
84264663,000007190541,DO-830273                     
84264665,000007190543,DO-830275                     
84274153,000007202791,DO-836560                     
84284794,000007227092,DO-844800                     
84265433,000007191332,DO-830883                     
84194605,000007088079,DO-776080                     
84249034,000007167527,DO-819762                     
84239588,000007150072,DO-813440                     
84252735,000007173168,DO-821760                     
84253878,000007175078,DO-802005                     
84126830,000006979437,DO-730640                     
84509689,000007624355,DO-1035200                    
84509691,000007624353,DO-1035202                    
84509690,000007624350,DO-1035201                    
50072088,000002707110,DO-81497                      
21023616,000005321115,DO-204320                     
50073907,000002640025,DO-63934                      
84683616,000007885084,DO-1142560                    
84683598,000007885092,DO-1142480                    
84489923,000007590411,DO-1018240                    
84340564,000007313350,DO-898560                     
84465858,000007547097,DO-996560                     
84549871,000007691296,DO-1065440                    
83862005,000006366141,DO-475760                     
83872071,000006391630,DO-484561                     
84520883,000007658176,DO-1043842                    
84683020,000007883478,DO-1141444                    
84499367,000007604545,DO-1026560                    
84893272,000008075901,DO-1270800                    
84080974,000006906030,DO-701440                     
